sofifa_id,short_name,long_name,player_positions,nationality
226226,G. Lo Celso,Giovani Lo Celso,"CM, CAM",Argentina
193105,A. Areola,Alphonse Areola,GK,France
206585,Kepa,Kepa Arrizabalaga Revuelta,GK,Spain
215698,M. Maignan,Mike Maignan,GK,France
220834,Marco Asensio,Marco Asensio Willemsen,"LW, RW",Spain
225375,K. Laimer,Konrad Laimer,"CDM, CM, RB",Austria
203263,H. Maguire,Harry Maguire,CB,England
212523,Anderson Talisca,Anderson Souza Conceicao,"CAM, RW",Brazil
214997,A. Correa,Angel Martin Correa,"RM, ST",Argentina
215316,G. Rulli,Geronimo Rulli,GK,Argentina
226110,N. Pepe,Nicolas Pepe,"RM, RW",Ivory Coast
226161,Marcos Llorente,Marcos Llorente Moreno,"CM, CF, RM",Spain
198009,M. Perin,Mattia Perin,GK,Italy
208333,E. Can,Emre Can,"CM, CDM",Germany
209960,Pacheco,Fernando Pacheco Flores,GK,Spain
223952,David Soria,David Soria Solis,GK,Spain
201153,Morata,Alvaro Borja Morata Martin,ST,Spain
201305,Gabriel Paulista,Gabriel Armando de Abreu,CB,Brazil
203841,N. Pope,Nick Pope,GK,England
205632,L. Ocampos,Lucas Ariel Ocampos,"RW, LW",Argentina
207862,M. Ginter,Matthias Ginter,CB,Germany
217940,D. Djene,Djene Dakonam Ortega,CB,Togo
236583,J. Pavlenka,Jiri Pavlenka,GK,Czech Republic
1179,G. Buffon,Gianluigi Buffon,GK,Italy
157481,Raul Albiol,Raul Albiol Tortajada,CB,Spain
168651,I. Rakitic,Ivan Rakitic,CM,Croatia
176635,M. Ozil,Mesut Ozil,"CAM, RW",Germany
177388,D. Payet,Dimitri Payet,"LW, CAM",France
177457,L. Bender,Lars Bender,"RB, CDM, CM",Germany
178750,Sergio Asenjo,Sergio Asenjo Andres,GK,Spain
180403,Willian,Willian Borges da Silva,"RW, LW, RM",Brazil
181458,I. Perisic,Ivan Perisic,"LM, LW",Croatia
182494,F. Muslera,Nestor Fernando Muslera Micol,GK,Uruguay
183907,J. Boateng,Jerome Boateng,CB,Germany
184200,M. Arnautovic,Marko Arnautovic,ST,Austria
185103,A. Kolarov,Aleksandar Kolarov,LB,Serbia
186561,A. Ramsey,Aaron Ramsey,"CM, CAM",Wales
190286,Canales,Sergio Canales Madrazo,"CM, LM, RM",Spain
190815,D. Blind,Daley Blind,"CB, CDM, LB",Netherlands
193525,Mario Fernandes,Mario Figueira Fernandes,"RWB, RM",Russia
193698,O. Baumann,Oliver Baumann,GK,Germany
194404,Neto,Norberto Murara Neto,GK,Brazil
198329,Rodrigo,Rodrigo Moreno Machado,ST,Spain
198710,J. Rodriguez,James David Rodriguez Rubio,"CAM, CM, RM",Colombia
200888,Danilo Pereira,Danilo Luis Helio Pereira,"CDM, CM",Portugal
201095,A. Marchesin,Agustin Federico Marchesin,GK,Argentina
202857,K. Bellarabi,Karim Bellarabi,"RM, RW",Germany
204120,T. Vaclik,Tomas Vaclik,GK,Czech Republic
204970,F. Thauvin,Florian Thauvin,"RW, RM",France
208418,Y. Carrasco,Yannick Ferreira Carrasco,LM,Belgium
208808,Q. Promes,Quincy Anton Promes,"CAM, LW, ST",Netherlands
210665,M. Halstenberg,Marcel Halstenberg,"LB, CB, LWB",Germany
216354,A. Kramaric,Andrej Kramaric,"ST, CAM",Croatia
223697,R. Gosens,Robin Gosens,LM,Germany
230168,Raphaelito Anjos,Raphael William Anjos Rochedo,GK,Brazil
230375,Josue Chiamulera,Josue Durval Chiamulera Vaz,CB,Brazil
242444,Joao Felix,Joao Felix Sequeira,"CF, ST",Portugal
234396,A. Davies,Alphonso Davies,"LB, LM, RM",Canada
234906,H. Aouar,Houssem Aouar,"CM, LM",France
239231,Cucurella,Marc Cucurella Saseta,"LM, LB",Spain
241461,Ferran Torres,Ferran Torres Garcia,"RM, LM, CF",Spain
231943,Richarlison,Richarlison de Andrade,"ST, RM, LM",Brazil
241852,M. Diaby,Moussa Diaby,LM,France
224411,Goncalo Guedes,Goncalo Manuel Ganchinho Guedes,"LM, ST",Portugal
227796,C. Pulisic,Christian Pulisic,"LW, RW, LM",United States
239818,Ruben Dias,Ruben dos Santos Gato Alves Dias,CB,Portugal
251573,Renan Lodi,Renan Augusto Lodi dos Santos,LB,Brazil
211990,O. Vlachodimos,Odisseas Vlachodimos,GK,Greece
222716,Everton,Everton Sousa Soares,LM,Brazil
236792,T. Soucek,Tomas Soucek,"CDM, CM",Czech Republic
205659,A. Cragno,Alessio Cragno,GK,Italy
211591,M. Dembele,Moussa Dembele,ST,France
213565,T. Lemar,Thomas Lemar,"LM, CAM, RM",France
216393,Y. Tielemans,Youri Tielemans,CM,Belgium
220697,J. Maddison,James Maddison,"CAM, CM, LW",England
220971,N. Keita,Naby Deco Keita,CM,Guinea
223959,L. Torreira,Lucas Torreira Di Pascua,"CDM, CM",Uruguay
225850,P. Kimpembe,Presnel Kimpembe,CB,France
226851,B. Pavard,Benjamin Pavard,"RB, CB",France
229984,B. Chilwell,Ben Chilwell,LB,England
233419,Raphinha,Raphael Dias Belloli,"RM, RW",Brazil
204884,B. Mendy,Benjamin Mendy,LB,France
204935,J. Pickford,Jordan Pickford,GK,England
205175,A. Milik,Arkadiusz Milik,ST,Poland
210455,Jonny,Jonathan Castro Otto,LWB,Spain
215223,W. Benitez,Walter Daniel Benitez,GK,Argentina
215330,J. Correa,Carlos Joaquin Correa,"CF, ST, CAM",Argentina
216201,Inaki Williams,Inaki Williams Arthuer,"ST, RW",Spain
220793,D. Sanchez,Davinson Sanchez Mina,CB,Colombia
205452,A. Rudiger,Antonio Rudiger,CB,Germany
205693,S. Haller,Sebastien Haller,ST,France
205988,L. Shaw,Luke Shaw,LB,England
209297,Fred,Frederico Rodrigues Santos,"CDM, CM",Brazil
200454,Paco Alcacer,Francisco Alcacer Garcia,ST,Spain
204639,S. Savic,Stefan Savic,CB,Montenegro
205849,E. Andrada,Esteban Maximiliano Andrada,GK,Argentina
207877,J. Martinez,Josef Alexander Martinez,ST,Venezuela
210008,A. Rabiot,Adrien Rabiot,"CM, CDM",France
227290,M. Dmitrovic,Marko Dmitrovic,GK,Serbia
235374,M. Lazzari,Manuel Lazzari,RM,Italy
41,Iniesta,Andres Iniesta Lujan,"CM, CAM",Spain
120533,Pepe,Kleper Laveran de Lima Ferreira,CB,Portugal
153244,A. Gignac,Andre-Pierre Gignac,"ST, CF",France
156519,H. Herrera,Hector Miguel Herrera Lopez,CM,Mexico
156616,F. Ribery,Franck Bilal Ribery,"CF, LM, LW",France
163489,A. Consigli,Andrea Consigli,GK,Italy
164835,L. Fabianski,Lukasz Fabianski,GK,Poland
167628,S. Ruffier,Stephane Ruffier,GK,France
171877,M. Hamsik,Marek Hamsik,"CM, CDM, CAM",Slovakia
173426,S. Mignolet,Simon Luc Hildebert Mignolet,GK,Belgium
173521,Marcano,Ivan Marcano Sierra,CB,Spain
177458,S. Bender,Sven Bender,"CB, CDM",Germany
177610,Javi Martinez,Javier Martinez Aginaga,"CDM, CB",Spain
179846,S. Khedira,Sami Khedira,"CM, CDM",Germany
183574,M. Kruse,Max Kruse,"CAM, ST",Germany
187754,Marlos,Marlos Romero Bonfim,"RM, CAM",Ukraine
188803,Taison,Taison Barcellos Freda,"LM, CAM",Brazil
190972,E. Salvio,Eduardo Antonio Salvio,"RM, RW",Argentina
192638,Marcos Alonso,Marcos Alonso Mendoza,"LB, LWB",Spain
193082,J. Cuadrado,Juan Guillermo Cuadrado Bello,"RB, RM, RW",Colombia
193283,T. Delaney,Thomas Delaney,"CDM, CM",Denmark
193348,X. Shaqiri,Xherdan Shaqiri,RM,Switzerland
195365,K. Kampl,Kevin Kampl,"CM, CDM, CAM",Slovenia
197655,S. Coates,Sebastian Coates Nion,CB,Uruguay
198164,Jonathan Viera,Jonathan Viera Ramos,CAM,Spain
198950,Pablo Sarabia,Pablo Sarabia Garcia,"RW, CAM",Spain
199575,Jordi Masip,Jordi Masip Lopez,GK,Spain
199987,J. Cillessen,Jasper Cillessen,GK,Netherlands
200260,S. Berghuis,Steven Berghuis,RW,Netherlands
200610,K. Volland,Kevin Volland,"ST, RW, LW",Germany
201119,Ismaily,Ismaily Goncalves dos Santos,LB,Brazil
201417,M. Doherty,Matt Doherty,"RWB, RB",Republic of Ireland
